PARNAZ;PARNIDK;VYSNAZORI;VYSDRUKOD;DRUHODKOD;VYSBOD;VYSKBO;VYSPDL;VYSPDLBOD;VYSPDLKBO;VYSIDKPER;VYSNIDK;VYSWEBURL;DOKNAZPRI;CR_OBRKOD;RVVOBRSKUK;DUVHODPOP;VYSAUTGARJ;AUTSEZDOM;VYSNAVSEZ;VYRROZKODN;VYSROKUPLK
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;P¯esnost makroekonomick˝ch prognÛz ËeskÈ ekonomiky v letech 2006-2009;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/10:00035118!RIV11-MSM-31130___;9X7AZMLE0.0i1j2oXfo3v8x2p4o=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F10%3A00035118!RIV11-MSM-31130___;Nov· teorie ekonomiky a managementu organizacÌ: Jak se zastavil a zmÏnil svÏt;AE;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Soukup, Jind¯ich;Soukup, Jind¯ich;Z(MSM6138439905);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;P¯esnost makroekonomick˝ch prognÛz ËeskÈ ekonomiky v letech 2006-2009;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/10:00034971!RIV11-MSM-31130___;9hLjBanMj0EPgriDaBeBqPJxunU=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F10%3A00034971!RIV11-MSM-31130___;Mezin·rodnÌ statisticko-ekonomickÈ dny na VäE v Praze;AE;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Soukup, Jind¯ich;Soukup, Jind¯ich;Z(MSM6138439905);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;"""P¯est¯elenÌ"" mÏnovÈho kurzu CZK/EUR v r·mci jeho dlouhodobÈho trendu";D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31120/10:00034107!RIV11-MSM-31120___;Z26xWaKBi4kBXNw6jb+rXAEHExM=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F10%3A00034107!RIV11-MSM-31120___;»esk· republika a Slovensko v mezin·rodnÌm obchodÏ a podnik·nÌ. Vliv finanËnÌ krize na mezin·rodnÌ podnik·nÌ;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;PavlÌk, ZdenÏk;PavlÌk, ZdenÏk;S;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;P¯evod jmÏnÌ na spoleËnÌka jako typ p¯emÏny obchodnÌ spoleËnosti;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31120/10:00035774!RIV11-MSM-31120___;2SjneXW6-rXMCxDdENa12.rHBk8=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F10%3A00035774!RIV11-MSM-31120___;Pr·vo v podnik·nÌ vybran˝ch Ëlensk˝ch st·t˘ EU;AG;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;»adÌlek, Jan;»adÌlek, Jan;S;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;P¯evod ˙ËetnÌ z·vÏrky na jinou mÏnu podle IFRS pro pot¯eby mezin·rodnÌch podnikov˝ch kombinacÌ;J;Jrec;4,00;4,32;1,00;4,00;4,32;RIV/61384399:31110/10:00035337!RIV11-MSM-31110___;EDCthQomN.yGBK.-3v7D+u+KrJU=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F10%3A00035337!RIV11-MSM-31110___;»esk˝ finanËnÌ a ˙ËetnÌ Ëasopis;AH;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";Zelenkov·, Marie;Zelenkov·, Marie;Z(MSM6138439903);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Price Bubble: The Case of Current Financial Crisis?;J;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/10:00034438!RIV11-MSM-31110___;R+04xwQZDgnmuj0KFabG2Ajqww4=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F10%3A00034438!RIV11-MSM-31110___;Journal of International Scientific Publications;AH;1;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;HavlÌËek, David;HavlÌËek, David;S;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Pricing models in revenue management;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/10:00034652!RIV11-GA0-31140___;z!nW.zWvfALsfVjnwZJV61mY9xE=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F10%3A00034652!RIV11-GA0-31140___;Multi-Criteria Decision Making XV;BB;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Fiala, Petr;Fiala, Petr;P(GAP402/10/0197);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;P¯ÌËiny ekonomickÈ krize v Chorvatsku a jejÌ ¯eöenÌ;D;neu;0,00;0,00;0,67;0,00;0,00;RIV/61384399:31120/10:00036300!RIV11-MSM-31120___;fJhN9JmLCmzMroJg.SyASeg0Kmc=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F10%3A00036300!RIV11-MSM-31120___;»esk· republika a Slovensko v mezin·rodnÌm obchodÏ a podnik·nÌ. Vliv finanËnÌ krize na mezin·rodnÌ podnik·nÌ;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Neuwirthov·, Magda;Neuwirthov·, Magda;I;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;P¯Ìloha k ˙ËetnÌ z·vÏrce - v˝znamn· souË·st ˙ËetnÌ z·vÏrky;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/10:00034733!RIV11-MSM-31110___;b3+N3ipAu78!tHpwQK8ve!Mes80=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F10%3A00034733!RIV11-MSM-31110___;⁄ËetnictvÌ v procesu svÏtovÈ harmonizace;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;»ern˝, V·clav;»ern˝, V·clav;Z(MSM6138439903);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Prim·rnÌ v˝zkum firem v »R v podmÌnk·ch krize;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/10:00035948!RIV11-MSM-31130___;9Hmu.TaxAxproRE6X8Lzc933.xQ=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F10%3A00035948!RIV11-MSM-31130___;Jak d·l po krizi;AE;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;NeËadov·, Marta;NeËadov·, Marta;Z(MSM6138439905);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Princip zapouzd¯enÌ versus relaËnÌ data - schisma softwarovÈ architektury;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/10:00033988!RIV11-MSM-31140___;CsWsw-eEPRQW0-pUStq3dnXtE4E=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F10%3A00033988!RIV11-MSM-31140___;SbornÌk pracÌ ˙ËastnÌk˘ vÏdeckÈho semin·¯e doktorandskÈho studia Fakulty informatiky a statistiky VäE v Praze;IN;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;KubÌËek, Jovan;KubÌËek, Jovan;S;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;P¯Ìnos evropsk˝ch imigrant˘ pro rozvoj venezuelskÈ ekonomiky a vliv souËasnÈ vl·dy H. Ch·veze;J;Jrec;4,00;4,32;1,00;4,00;4,32;RIV/61384399:31120/10:00036327!RIV11-MSM-31120___;1zxs3aAovVBv.tBd-nXRLLMbj78=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F10%3A00036327!RIV11-MSM-31120___;Scientific Papers of the University of Pardubice. Series D, Faculty of Economic and Administration;AH;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";Stiegler, Pavel;Stiegler, Pavel;I;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;P¯Ìnosy nasazenÌ metodiky Scrum pro v˝voj komplexnÌch informaËnÌch systÈm˘;J;Jrec;10,00;10,80;0,67;6,67;7,20;RIV/61384399:31140/10:00035846!RIV11-GA0-31140___;x8KGrt!bKu5K5d2uIzAVhm!LbWQ=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F10%3A00035846!RIV11-GA0-31140___;SystÈmov· integrace;AE;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", I. kategorie (obory NRRE)";Buchalcevov·, Alena;Buchalcevov·, Alena;P(GA201/08/0663);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;P¯Ìpadov· studie v p¯edmÏtu Podnik·nÌ mal˝ch a st¯ednÌch firem na VäE v Praze;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/10:00035068!RIV11-MSM-31130___;tx-7ok1VQDIJx1rkhWwvr9fTSc8=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F10%3A00035068!RIV11-MSM-31130___;Podnikanie a konkurencieschopnosù firiem;AE;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Svobodov·, Ivana;Svobodov·, Ivana;I;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;P¯istoupenÌ k insolvenËnÌmu ¯ÌzenÌ v rozhodovacÌ praxi soud˘;J;Jrec;10,00;10,80;1,00;10,00;10,80;RIV/61384399:31120/10:00034198!RIV11-MSM-31120___;XSQumUq7XYfxWtv9ymQSuW0.QkU=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F10%3A00034198!RIV11-MSM-31120___;Acta Oeconomica Pragensia;AG;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", I. kategorie (obory NRRE)";Moravec, Tom·ö;Moravec, Tom·ö;S;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;P¯Ìstup Finska v oblasti podpory inovativnÌho podnik·nÌ;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/10:00036024!RIV11-MSM-31130___;DquitZR!c0KWxXzJpiEvCHfJ7WM=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F10%3A00036024!RIV11-MSM-31130___;Jak d·l po krizi;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Keöner, Martin;Keöner, Martin;S;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;P¯Ìstup k hodnocenÌ v˝voje firmy na principech teorie autopoiÈze;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/10:00035553!RIV11-MSM-31130___;c7s3vTpp6EQW!KpF2dqszzeUBA8=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F10%3A00035553!RIV11-MSM-31130___;Jak d·l po krizi;AE;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Mejdrech, Vlastimil;Mejdrech, Vlastimil;Z(MSM6138439905);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta n·rodohospod·¯sk·;orjk:31150;PristupaËnost kao Ëimbenik utjecaja na atraktivnost investiranja u pojedina EU podruËja;J;neu;0,00;0,00;0,50;0,00;0,00;RIV/61384399:31150/10:00035871!RIV11-GA0-31150___;ujf1DR4RFCVh33nN-DurRZGycWQ=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31150%2F10%3A00035871!RIV11-GA0-31150___;SUVREMENI PROMET;AH;1;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;Damborsk˝, Milan;Damborsk˝, Milan;P(GA402/09/0179), S;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;ProblÈm mÏ¯enÌ a hodnocenÌ individu·lnÌ vÏdeckÈ v˝konnosti;J;Jimp;22,86;24,69;1,00;22,86;24,69;RIV/61384399:31140/10:00034288!RIV11-MSM-31140___;DBz665.GE2A6NjsxukKzHmJYLwM=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F10%3A00034288!RIV11-MSM-31140___;Politick· ekonomie;AH;1;J_imp Ël·nek v impaktovanÈm Ëasopise;Arltov·, MarkÈta;Arltov·, MarkÈta;Z(MSM6138439910);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta managementu v Jind¯ichovÏ Hradci;orjk:31160;The Problem of Fragile Feature Subset Preference in Feature Selection Methods and A Proposal of Algorithmic Workaround;D;neu;0,00;0,00;0,50;0,00;0,00;RIV/61384399:31160/10:00036189!RIV11-MSM-31160___;0Pj5Q9NQ5Eo6oJ.2jRf!.oykERA=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31160%2F10%3A00036189!RIV11-MSM-31160___;Proc. 2010 Int. Conf. on Pattern Recognition;BD;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Somol, Petr;"Somol, Petr; Grim, Ji¯Ì; Pudil, Pavel";P(1M0572), P(2C06019), P(GA102/07/1594), P(GA102/08/0593), Z(AV0Z10750506);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;Problem of nominal and real convergence - should Maastricht convergence criteria be changed;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31120/10:00034612!RIV11-MSM-31120___;VpmifHV0bVcePaoo.s+wyEWBY44=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F10%3A00034612!RIV11-MSM-31120___;Trendy v mezin·rodnÌm podnik·nÌ;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;»ajka, Radek;»ajka, Radek;S;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;The Problem of the Yearly Inflation Rate and its Implications for the Monetary Policy of the Czech National Bank;J;Jimp;15,76;17,02;1,00;15,76;17,02;RIV/61384399:31140/10:00034372!RIV11-GA0-31140___;5YYrsf67Xcy+uz0j4mks9rvTCWg=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F10%3A00034372!RIV11-GA0-31140___;Prague Economic Papers;AH;1;J_imp Ël·nek v impaktovanÈm Ëasopise;Arlt, Josef;"Arlt, Josef; Baöta, Milan";P(GAP402/10/0289);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;ProblÈm transform·cie oceÚovacieho rozdielu z precenenia pri premen·ch do otv·racej s˙vahy n·stupnÌckej spoloËnosti;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/10:00035277!RIV11-MSM-31110___;8-NegXunSRgA6Vb9ZSf6S4tvIFk=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F10%3A00035277!RIV11-MSM-31110___;SbornÌk p¯ÌspÏvk˘ z konference Finance a management v teorii a praxi;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Sklen·r, Roman;Sklen·r, Roman;S;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;ProblematickÈ aspekty anal˝zy rizik IT a jejÌ dopad na bezpeËnost;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/10:00033985!RIV11-MSM-31140___;.mQqcRx.wihRZL8eF.B+W+orSBg=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F10%3A00033985!RIV11-MSM-31140___;SbornÌk pracÌ ˙ËastnÌk˘ vÏdeckÈho semin·¯e doktorandskÈho studia Fakulty informatiky a statistiky VäE v Praze;IN;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Drtil, Jan;Drtil, Jan;S;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta n·rodohospod·¯sk·;orjk:31150;ProblematiËnost z·kladnÌ teze Humova empirismu;J;Jrec;10,00;11,08;1,00;10,00;11,08;RIV/61384399:31150/10:00035667!RIV11-MSM-31150___;SmI+dNYWW.ZQDxk6fhmtgaT!PHI=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31150%2F10%3A00035667!RIV11-MSM-31150___;E-logos - Electronic Journal for Philosophy;AA;10;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", I. kategorie (obory NRRE)";äpeci·n, Petr;äpeci·n, Petr;S;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Problematika odloûenÈ danÏ ve f˙zÌch z pohledu oceÚov·nÌ a ˙ËetnictvÌ;J;Jrec;4,00;4,32;1,00;4,00;4,32;RIV/61384399:31110/10:00035343!RIV11-GA0-31110___;59EEWAHHjHaGgtSLx0qez!k!saQ=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F10%3A00035343!RIV11-GA0-31110___;»esk˝ finanËnÌ a ˙ËetnÌ Ëasopis;AH;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";Pel·k, Ji¯Ì;Pel·k, Ji¯Ì;P(GA402/08/0748);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;Problemy demokratii i politiËeskogo upravlenija v globalizirovannom mire na primere »eöskoj respubliki;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31120/10:00036302!RIV11-MSM-31120___;3hLscqz9AsAK2J9vAL4!6FrBj.M=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F10%3A00036302!RIV11-MSM-31120___;Innovacionnye progressy v sovremennoj politike: opyt, problemy, prioritety;AD;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Prorok, VladimÌr;"Prorok, VladimÌr; Cupalov·, Marcela";I;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;ProblÈmy nedokonËenÈ harmonizace p¯eshraniËnÌch f˙zÌ jako bariÈry pro voln˝ pohyb kapit·lu;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/10:00035426!RIV11-GA0-31110___;mZqRRD9-u+NHiVDu6WiIq2a!ymY=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F10%3A00035426!RIV11-GA0-31110___;Aktu·lnÌ ot·zky financÌ a finanËnÌho pr·va z hlediska fisk·lnÌ a monet·rnÌ podpory hospod·¯skÈho r˘stu v zemÌch st¯ednÌ a v˝chodnÌ Evropy po roce 2010;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Sk·lov·, Jana;"Sk·lov·, Jana; é·rov·, Marcela";P(GAP403/10/1982);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;ProblÈmy obecnÈ metodologie vÏd ovlivÚujÌ neuspokojiv˝ stav ekonomickÈ vÏdy;J;Jimp;22,86;24,69;1,00;22,86;24,69;RIV/61384399:31110/10:00035044!RIV11-GA0-31110___;04oAPKLmEbDhYmrKe26ZuNor8BE=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F10%3A00035044!RIV11-GA0-31110___;Politick· ekonomie;AH;1;J_imp Ël·nek v impaktovanÈm Ëasopise;DaÚhel, Jaroslav;"DaÚhel, Jaroslav; Duch·Ëkov·, Eva";P(GA402/09/1507);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;ProblÈmy optimalizace rozpoËtovÈ a fisk·lnÌ politiky;B;BC;20,00;21,60;0,25;5,00;5,40;RIV/61384399:31110/10:00036455!RIV11-MSM-31110___;o3FjCmQpa200ZxNwyEgSZd1Aghw=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F10%3A00036455!RIV11-MSM-31110___;ProblÈmy optimalizace rozpoËtovÈ a fisk·lnÌ politiky;AH;1;"kniha v oborech II. kategorie (obory mimo NRRE) napsan· v jinÈm neû ""svÏtovÈm jazyce""";HamernÌkov·, Bojka;"HamernÌkov·, Bojka; Kub·tov·, KvÏta; Ochrana, Frantiöek; Klazar, Stanislav; Maaytov·, Alena";I, P(GA402/08/1134);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;ProblÈmy optimalizace rozpoËtovÈ a fisk·lnÌ politiky;B;BC;20,00;21,60;0,20;4,00;4,32;RIV/61384399:31140/10:00036455!RIV11-MSM-31140___;o3FjCmQpa200ZxNwyEgSZd1Aghw=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F10%3A00036455!RIV11-MSM-31140___;ProblÈmy optimalizace rozpoËtovÈ a fisk·lnÌ politiky;AH;1;"kniha v oborech II. kategorie (obory mimo NRRE) napsan· v jinÈm neû ""svÏtovÈm jazyce""";HamernÌkov·, B.;"»Ìûek, Ond¯ej; FÌglov·, Zuzana";I, P(GA402/08/1134);0;2010
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;ProblÈmy spojenÈ s mezin·rodnÌ p¯epravou zboûÌ v dob·ch nejistoty - Aplikace resource-based view;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31120/10:00034616!RIV11-MSM-31120___;.Wfg03zBd6kNQQp9wn31r5nYJVs=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F10%3A00034616!RIV11-MSM-31120___;Trendy v mezin·rodnÌm podnik·nÌ;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;äv·bkov·, Eva;äv·bkov·, Eva;S;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;ProblÈmy spojenÈ s uûÌv·nÌm geografick˝ch jmen v r·mci hospod·¯skÈ nÏmËiny;J;Jrec;10,00;11,08;1,00;10,00;11,08;RIV/61384399:31120/10:00036217!RIV11-MSM-31120___;3NtiNXtFQIKr3ZDkaBB9xIhcq8k=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F10%3A00036217!RIV11-MSM-31120___;Acta Oeconomica Pragensia;AI;10;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", I. kategorie (obory NRRE)";B¯ezina, Jaroslav;B¯ezina, Jaroslav;I;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Proces uËenÌ a transparentnost centr·lnÌ banky;J;Jimp;22,86;24,69;1,00;22,86;24,69;RIV/61384399:31110/10:00034487!RIV11-MSM-31110___;NApTv3thm72P.o2RiySP0UHaPsE=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F10%3A00034487!RIV11-MSM-31110___;Politick· ekonomie;AH;1;J_imp Ël·nek v impaktovanÈm Ëasopise;Holinka, Tom·ö;Holinka, Tom·ö;S;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Process service continuity management and his matrix certification in multinational corporation;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/10:00035100!RIV11-MSM-31140___;4Wpdcexy9dPE5svCkpxdzDUqeiY=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F10%3A00035100!RIV11-MSM-31140___;InformaËnÌ technologie pro praxi;IN;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;ÿÌhov·, Zora;ÿÌhov·, Zora;S;0;2010
Vysok· ökola ekonomick· v Praze / Fakulta n·rodohospod·¯sk·;orjk:31150;Procesy zmÏn v Ëesko-polsko-saskÈm pohraniËÌ z pohledu jejich ¯ÌzenÌ;J;Jrec;4,00;4,32;0,50;2,00;2,16;RIV/61384399:31150/10:00036461!RIV11-GA0-31150___;76ccLnwCxGC3P6urac1dS345tzM=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31150%2F10%3A00036461!RIV11-GA0-31150___;Urbanismus a ˙zemnÌ rozvoj;AH;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";SlavÌk, Jan;SlavÌk, Jan;P(GA402/09/0248);0;2010
